Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0588,BLG523.06,44874,18:12:46.45,-27:42:56.6,2456117.476,2012-07-08.98,67.626,0.351,2.975,1.184,1.0,18.569,18.569,273.19354166666665,-27.715722222222222
2012-BLG-0589,BLG503.05,75796,17:50:58.35,-35:08:40.2,2456124.141,2012-07-15.64,140.929,1.796,1.082,0.086,1.0,17.048,17.048,267.74312499999996,-35.1445
2012-BLG-0590,BLG503.30,75255,17:50:50.74,-34:09:48.1,2456061.47,2012-05-13.97,26.881,0.151,6.685,2.063,1.0,20.122,20.122,267.71141666666665,-34.16336111111111
2012-BLG-0591,BLG505.05,90963,17:57:00.23,-29:37:42.4,2456170.418,2012-08-30.92,60.225,0.186,5.444,1.84,0.834,17.072,17.27,269.2509583333333,-29.628444444444444
2012-BLG-0592,BLG505.22,78350,17:56:53.23,-29:03:16.1,2456057.856,2012-05-10.36,9.435,0.292,3.538,1.372,1.0,20.08,20.08,269.2217916666666,-29.054472222222223
2012-BLG-0593,BLG505.23,133305,17:56:06.94,-28:56:27.1,2456083.772,2012-06-05.27,58.079,0.275,3.744,1.433,0.067,16.607,19.547,269.02891666666665,-28.94086111111111
2012-BLG-0594,BLG505.27,13195,17:59:10.05,-28:48:31.4,2456057.317,2012-05-09.82,5.505,1.784,1.084,0.088,1.0,15.026,15.026,269.791875,-28.808722222222222
2012-BLG-0595,BLG505.30,34210,17:57:05.46,-28:40:28.5,2456053.931,2012-05-06.43,12.724,0.091,11.006,2.604,0.093,19.571,22.155,269.27275,-28.674583333333334
2012-BLG-0596,BLG520.26,10174,18:10:59.91,-28:49:59.9,2456064.136,2012-05-16.64,10.382,1.356,1.172,0.172,1.0,16.464,16.464,272.74962500000004,-28.833305555555555
2012-BLG-0597,BLG534.29,14932,17:52:06.00,-30:38:26.6,2456060.255,2012-05-12.76,19.651,0.508,2.154,0.833,1.0,18.593,18.593,268.025,-30.640722222222223
2012-BLG-0598,BLG611.11,54814,17:36:19.46,-27:24:32.9,2456059.513,2012-05-12.01,26.829,0.258,3.965,1.496,0.339,19.781,20.955,264.0810833333333,-27.409138888888886
2012-BLG-0599,BLG612.06,37691,17:28:44.45,-28:28:20.7,2456049.632,2012-05-02.13,10.645,1.056,1.305,0.289,1.0,17.514,17.514,262.18520833333326,-28.472416666666664
2012-BLG-0600,BLG612.21,11144,17:30:15.66,-27:51:42.9,2456085.378,2012-06-06.88,57.206,0.375,2.804,1.12,1.0,19.813,19.813,262.56524999999993,-27.86191666666667
2012-BLG-0601,BLG613.04,106498,17:29:59.93,-29:40:37.2,2456054.266,2012-05-06.77,13.166,0.058,17.338,3.098,0.866,18.465,18.621,262.49970833333333,-29.677
2012-BLG-0602,BLG625.03,73724,17:40:49.58,-23:22:52.1,2456052.556,2012-05-05.06,15.578,0.624,1.827,0.654,1.0,19.462,19.462,265.2065833333333,-23.381138888888888
2012-BLG-0603,BLG648.07,5611,17:44:39.14,-27:16:49.6,2456050.523,2012-05-03.02,11.774,0.864,1.459,0.411,1.0,17.955,17.955,266.1630833333333,-27.280444444444445
2012-BLG-0604,BLG500.10,36060,17:53:38.65,-28:42:48.6,2456053.761,2012-05-06.26,0.109,0.781,1.556,0.48,1.0,18.639,18.639,268.4110416666666,-28.7135
2012-BLG-0605,BLG505.02,123069,17:58:49.49,-29:44:06.4,2456049.894,2012-05-02.39,14.291,0.476,2.274,0.892,0.105,17.739,20.185,269.7062083333333,-29.735111111111113
2012-BLG-0606,BLG505.30,193124,17:56:40.03,-28:41:27.0,2456089.008,2012-06-10.51,152.07,0.044,22.647,3.388,0.111,18.94,21.323,269.1667916666666,-28.690833333333334
2012-BLG-0607,BLG507.21,61731,17:57:42.17,-31:31:57.1,2456053.659,2012-05-06.16,21.97,1.326,1.181,0.181,1.0,18.306,18.306,269.42570833333326,-31.532527777777776
