HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
6492.79855,5542.226562,-631.442977,1882.623657,42465,6492.793539,2.36829,3323.58,1.34775,87,0.543448,40,13.0198,512.0029,193,1.3404,0.7273,True
6492.82494,6161.421387,-1133.658464,1570.760864,42468,6492.819928,2.53151,3232.93,1.22528,77,0.54182,40,19.8605,319.01724,193,1.2193,0.6088,True
6492.8536,4854.52832,-1625.581461,1454.516846,42471,6492.848585,2.27503,2959.63,1.13048,62,0.548723,40,25.1057,479.26248,193,1.1275,0.4728,True
6492.87999,5394.323242,-268.321211,1292.103882,42474,6492.874976,2.07913,2835.41,1.07259,101,0.552796,40,27.0535,448.85532,193,1.0706,0.3414,True
6492.90639,2125.39209,,2293.234863,42477,6492.901386,2.15493,2791.38,1.03576,92,0.551712,40,-12.2717,2215.868,193,,,False
6492.93466,11069.306641,5729.110727,2162.447754,42480,6492.929654,1.96626,17017.8,1.0167,113,0.391837,40,56.6887,346.43695,193,1.0179,0.0554,True
6492.96233,8582.869141,2694.886045,1576.515991,42483,6492.957327,2.02551,6685.18,1.01736,124,0.558863,40,36.4943,529.23865,193,1.0203,-0.092,True
6492.99063,9733.868164,5065.998664,1274.009766,42486,6492.985623,1.79251,9787.38,1.03724,143,0.553815,40,0.2044,384.81436,193,1.0426,-0.2411,True
6493.02118,11937.363281,7050.474162,1448.358398,42489,6493.016177,1.72748,9261.44,1.08318,125,0.555686,40,-9.5805,478.16748,193,1.0916,-0.3972,True
6493.04945,11516.582031,3235.576185,1500.769775,42492,6493.044453,2.05037,8881.81,1.15239,104,0.551013,40,10.1199,438.8581,193,1.1646,-0.5352,True
6493.07585,13465.938477,4433.324207,1317.224854,42495,6493.07085,1.96011,8089.06,1.24723,112,0.545264,40,-4.7932,343.77103,193,1.2634,-0.6575,True
6493.10224,14292.207031,2480.578471,1556.126831,42498,6493.097245,2.16101,7411.12,1.3786,86,0.539527,40,18.9641,392.78595,193,1.4023,-0.7735,True
6493.12864,16425.673828,1615.487521,1529.986328,42501,6493.123641,2.47411,7101.64,1.56223,68,0.530243,40,-12.4082,243.68759,193,1.5984,-0.8836,True
6493.15504,17157.066406,-372.822938,1582.544189,42504,6493.150045,2.41696,6788.89,1.83116,74,0.523756,40,5.2408,243.22736,193,1.8816,-0.9886,True
6493.18144,19777.169922,-1740.251557,2307.504883,42507,6493.176445,2.57051,6077.8,2.22559,66,0.510918,40,-10.3322,516.1697,193,2.308,-1.0896,True
6493.20783,25810.476562,-774.893113,2402.407715,42510,6493.202841,2.86494,2939.76,2.85545,44,0.487411,40,-17.4443,370.15997,193,2.9961,-1.1883,True
6495.87716,-5675.191406,,8604.814453,42516,6495.872302,4.3604,8922.46,1.0635,8,0.241436,20,209.4416,297.6353,193,,,False
6495.90361,5032.054199,1607.015684,3991.846191,42519,6495.898751,3.7534,7926.87,1.03017,11,0.261404,20,79.088,139.41599,193,1.0302,0.1758,True
6495.9679,-442.278503,,17015.666016,42521,6495.963047,4.57736,3496.65,1.02468,4,0.237831,20,266.037,1054.7483,193,,,False
6495.9969,5776.094238,6988.075766,9033.164062,42524,6495.99205,4.24995,2878.61,1.05573,7,0.25128,20,166.0844,524.5114,193,1.0626,-0.3165,True
6496.02994,6342.357422,4655.803097,10748.782227,42529,6496.025085,4.10409,6865.89,1.12233,16,0.495181,40,181.1596,1085.9631,193,1.1322,-0.4814,True
6496.05916,-23773.402344,,24334.789062,42535,6496.054316,4.96968,7197.93,1.21341,10,0.443646,40,453.5008,3393.8533,193,,,False
6496.08733,9692.282227,3397.147701,5534.488281,42538,6496.082483,3.88911,6231.36,1.34142,23,0.512351,40,124.7077,496.3629,193,1.3632,-0.7452,True
6496.11373,-922.220764,-7239.17519,8725.68457,42541,6496.10888,4.00346,7191.44,1.51215,14,0.498251,40,186.866,1268.7661,193,1.5429,-0.8567,True
6496.14013,19960.199219,4972.923309,2482.564697,42544,6496.135289,3.22111,7514.69,1.75219,38,0.530737,40,5.0686,215.90527,193,1.8006,-0.9629,True
6496.16655,13308.949219,5718.697593,8287.4375,42547,6496.161703,4.18057,10163.8,2.10931,13,0.465174,40,116.8932,476.5327,193,2.184,-1.0649,True
6496.19294,17143.904297,-3839.722781,2927.710449,42550,6496.188096,3.39143,9573.98,2.65799,33,0.507832,40,46.9348,208.40009,193,2.7898,-1.164,True
6496.93462,8513.035156,842.679753,1918.950684,42557,6496.929823,2.89245,4757.23,1.01481,86,0.8164,60,62.9806,444.15863,193,1.0166,-0.0037,True
6496.97114,9828.657227,2565.252072,2937.398926,42560,6496.966338,2.24023,20601.7,1.02928,83,0.488363,60,56.3492,492.5047,193,1.0338,-0.1974,True
6497.00668,11012.798828,2067.95805,1235.742188,42563,6497.00188,2.51154,4712.24,1.07702,98,0.815811,60,13.2269,314.56125,193,1.0848,-0.3802,True
6497.03953,10574.701172,338.097778,1590.524902,42566,6497.034739,2.8697,4963.95,1.15587,73,0.803853,60,22.6521,314.77396,193,1.1684,-0.5409,True
6497.07243,13257.751953,1548.017002,1620.88147,42569,6497.067635,2.89506,5263.93,1.27956,72,0.79822,60,16.3639,342.01328,193,1.2992,-0.692,True
6497.1053,14525.174805,669.93289,1400.232178,42572,6497.100507,2.49668,5616.01,1.46903,98,0.806345,60,-4.4271,365.43866,193,1.4991,-0.8333,True
6497.13818,15160.210938,1336.79629,2656.447998,42575,6497.133393,3.41231,6925.46,1.76105,47,0.770046,60,35.3451,332.06577,193,1.8105,-0.9662,True
6497.17107,11135.237305,-3276.856706,5086.523438,42578,6497.166285,3.72097,8341.2,2.23334,37,0.713226,60,74.2616,729.976,193,2.3233,-1.0925,True
6497.2016,20290.277344,14717.732439,10676.875,42581,6497.196816,4.55861,14828.5,2.99574,14,0.628959,60,69.5929,692.54126,193,3.1709,-1.2065,True
6497.7857,3741.150391,-3467.890737,3256.692627,42585,6497.780941,3.49626,2558.17,1.34352,23,0.373482,60,61.9738,245.61655,193,1.3347,0.7227,True
6497.81859,10316.211914,2436.760943,1947.606201,42588,6497.813833,3.13901,2601.25,1.19645,65,0.812583,60,26.6371,460.89273,193,1.1916,0.5737,True
6497.88735,7190.5,232.797887,3833.390137,42593,6497.882596,3.22477,12878.3,1.04135,23,0.284987,60,120.1497,168.20258,193,1.0406,0.2318,True
6498.0014,12043.291016,3154.980476,1439.138916,42594,6497.996656,2.94245,3566.72,1.07186,71,0.82348,60,17.3903,258.4885,193,1.08,-0.3677,True
6498.15015,15485.500977,3323.615888,4636.176758,42599,6498.145419,3.74547,5280.12,1.94726,40,0.744518,60,58.5325,729.4791,193,2.0071,-1.0235,True
6498.2018,-2685.294678,,19222.007812,42601,6498.197064,4.85205,8954.17,3.10303,12,0.609549,60,269.5743,2133.9475,193,,,False
6500.00027,11843.266602,4726.795066,4264.642578,42603,6499.995643,3.43097,5758.3,1.08006,15,0.274712,60,78.3597,232.51263,193,1.0887,-0.3901,True
6500.79079,7278.967773,68.443221,3664.344727,42608,6500.786205,3.44804,2421.08,1.27601,47,0.785532,60,34.2146,1022.83514,193,1.2688,0.6629,True
6500.81672,8935.87207,3055.579451,5097.44043,42609,6500.812133,3.62294,1671.13,1.17409,6,0.127927,60,77.6112,102.01423,193,1.1699,0.5431,True
6500.8496,7552.791504,38.301821,2472.744385,42612,6500.845021,3.16083,2058.37,1.08798,64,0.815561,60,19.2817,706.1529,193,1.0856,0.3824,True
6500.88247,10116.791992,2719.322668,997.809021,42615,6500.877892,2.41557,1728.94,1.03724,126,0.849627,60,-7.4907,392.21857,193,1.0368,0.2136,True
6500.91534,10064.861328,2715.043682,816.070923,42618,6500.910769,2.38443,1667.76,1.01574,134,0.85383,60,1.7891,252.38779,193,1.0173,0.0396,True
6500.95427,12102.848633,3940.348487,1233.325684,42622,6500.949692,2.66673,1772.84,1.02468,91,0.84182,60,21.9799,332.65118,193,1.0289,-0.1673,True
6500.98974,13210.069336,4214.436588,1242.114868,42625,6500.985168,2.77493,2114.84,1.06622,83,0.820932,60,12.9985,344.2321,193,1.0739,-0.351,True
6501.02496,12318.887695,2611.228954,1312.225586,42628,6501.020394,2.38453,2116.78,1.14558,108,0.840559,60,13.8169,463.11465,193,1.1577,-0.5246,True
6501.05785,14799.369141,3082.868185,1163.341675,42631,6501.053287,2.71977,2360.69,1.26387,83,0.830609,60,0.945,277.1959,193,1.2829,-0.6768,True
6501.09073,13000.607422,1276.028586,3063.036377,42634,6501.086163,3.33698,4227.9,1.44479,23,0.395999,60,40.0277,251.70364,193,1.4741,-0.8191,True
6501.79212,10591.836914,2754.233368,1792.780884,42638,6501.787592,2.71748,2269.05,1.25711,95,0.829755,60,7.0503,684.45197,193,1.2507,0.6443,True
6501.82971,7674.082031,493.070821,1264.427246,42643,6501.82519,2.41523,1874.21,1.12841,120,0.840476,60,21.1841,597.2674,193,1.1244,0.4671,True
6501.86495,7243.929688,1025.945991,1084.552368,42647,6501.860435,2.1482,1753.36,1.05636,128,0.857806,60,10.2902,979.47003,193,1.0548,0.2901,True
6501.89785,8380.34668,2500.540688,1172.504395,42649,6501.893333,2.05361,1768.64,1.02234,167,0.861611,60,6.7599,1045.2313,193,1.0226,0.1179,True
