Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-379,MOA-2,gb15,5,18:05:24.441,-26:25:18.26,,271.3518375,-26.42173888888889
MOA-2007-BLG-380,MOA-2,gb4,10,17:56:17.584,-30:10:35.92,,269.0732666666666,-30.176644444444445
MOA-2007-BLG-381,MOA-2,gb10,10,18:01:59.773,-26:42:17.45,,270.4990541666666,-26.70484722222222
MOA-2007-BLG-382,MOA-2,gb17,4,18:10:54.492,-27:49:31.82,,272.72704999999996,-27.825505555555555
MOA-2007-BLG-383,MOA-2,gb5,10,17:55:19.348,-28:30:42.26,,268.8306166666667,-28.51173888888889
MOA-2007-BLG-384,MOA-2,gb9,2,17:59:23.763,-28:58:57.63,,269.8490125,-28.982674999999997
MOA-2007-BLG-385,MOA-2,gb20,10,18:18:28.416,-22:55:32.48,,274.61839999999995,-22.92568888888889
MOA-2007-BLG-386,MOA-2,gb21,10,18:18:41.105,-21:09:18.85,,274.6712708333333,-21.15523611111111
MOA-2007-BLG-387,MOA-2,gb1,6,17:49:50.667,-34:53:49.44,,267.46111249999996,-34.89706666666667
MOA-2007-BLG-388,MOA-2,gb18,6,18:13:54.748,-26:18:24.29,,273.4781166666666,-26.306747222222224
MOA-2007-BLG-389,MOA-2,gb9,9,18:01:02.169,-28:49:52.25,,270.2590374999999,-28.831180555555555
MOA-2007-BLG-390,MOA-2,gb16,4,18:10:03.807,-29:26:32.76,,272.5158625,-29.442433333333334
MOA-2007-BLG-391,MOA-2,gb12,1,18:04:27.418,-30:17:59.25,,271.11424166666666,-30.299791666666668
MOA-2007-BLG-392,MOA-2,gb13,5,18:05:22.415,-29:47:05.26,,271.34339583333326,-29.784794444444447
MOA-2007-BLG-393,MOA-2,gb14,4,18:03:12.472,-27:53:17.46,,270.8019666666666,-27.888183333333334
MOA-2007-BLG-394,MOA-2,gb17,3,18:09:50.011,-27:36:54.36,,272.45837916666665,-27.6151
MOA-2007-BLG-395,MOA-2,gb13,3,18:05:04.779,-29:13:53.65,,271.2699124999999,-29.231569444444442
MOA-2007-BLG-396,MOA-2,gb4,7,17:56:48.671,-31:11:44.12,,269.2027958333333,-31.19558888888889
MOA-2007-BLG-397,MOA-2,gb15,4,18:05:33.028,-26:00:57.34,,271.3876166666666,-26.01592777777778
MOA-2007-BLG-398,MOA-2,gb5,7,17:55:44.467,-29:40:27.43,,268.93527916666665,-29.674286111111112
MOA-2007-BLG-399,MOA-2,gb14,3,18:04:02.717,-27:26:05.49,,271.0113208333333,-27.434858333333334
MOA-2007-BLG-400,MOA-2,gb16,3,18:09:41.980,-29:13:26.95,,272.4249166666666,-29.224152777777775
MOA-2007-BLG-401,MOA-2,gb5,7,17:55:29.126,-29:28:30.70,,268.8713583333333,-29.475194444444444
MOA-2007-BLG-402,MOA-2,gb5,5,17:53:06.435,-29:58:16.08,,268.27681249999995,-29.97113333333333
MOA-2007-BLG-403,MOA-2,gb8,7,18:01:38.148,-31:25:21.31,,270.40894999999995,-31.422586111111112
MOA-2007-BLG-404,MOA-2,gb16,4,18:10:50.751,-29:40:40.84,,272.7114625,-29.67801111111111
MOA-2007-BLG-405,MOA-2,gb17,10,18:12:15.190,-26:45:53.51,,273.0632916666666,-26.76486388888889
MOA-2007-BLG-406,MOA-2,gb5,10,17:55:18.300,-28:40:55.36,,268.82625,-28.682044444444447
MOA-2007-BLG-407,MOA-2,gb2,5,17:52:48.863,-35:06:16.72,,268.2035958333333,-35.104644444444446
